ID, Label, Wikipedia
Q371212,"Richard Thaler","Richard Thaler"
Q371258,"Kenneth Clark","Kenneth Clark"
Q371441,"Elliott H. Lieb","Elliott H. Lieb"
Q371455,"David Slade","David Slade"
Q371556,"Władysław Sadłowski","Władysław Sadłowski"
Q371600,"Timothy J. Keller","Tim Keller (pastor)"
Q371726,"Szymon Askenazy","Szymon Askenazy"
Q371740,"Hans von Koessler","Hans von Koessler"
Q371744,"Marcomer","Marcomer"
Q371786,"Joel David Moore","Joel David Moore"
Q371795,"Riccardo Chailly","Riccardo Chailly"
Q371966,"Feng Menglong","Feng Menglong"
Q372026,"Andrey Tikhonov","Andrey Nikolayevich Tikhonov"
Q372208,"Mamo Wolde","Mamo Wolde"
Q372215,"Walter Cunningham","Walter Cunningham"
Q372219,"John of Montecorvino","John of Montecorvino"
Q372277,"Alexey Bogolyubov","Alexey Bogolyubov"
Q372293,"Adrian Aeschbacher","Adrian Aeschbacher"
Q372428,"Daniel Purcell","Daniel Purcell"
Q372497,"Bernie Casey","Bernie Casey"
Q372526,"Gedhun Choekyi Nyima","Gedhun Choekyi Nyima"
Q372535,"Jurica Pavičić","Jurica Pavičić"
Q372551,"János Fogarasi","János Fogarasi"
Q372635,"Rob Stewart","Rob Stewart (actor)"
Q372668,"John the Merciful","John the Merciful"
Q372748,"Adrian Carton de Wiart","Adrian Carton de Wiart"
Q372883,"Tad Schmaltz","Tad Schmaltz"
Q372910,"Pieter de Keyser","Pieter de Keyser"
Q372984,"Charles Lamb","Charles Lamb"
Q372995,"Adrian Ghenie","Adrian Ghenie"
Q373034,"Saïd Taghmaoui","Saïd Taghmaoui"
Q373044,"Antonio Buero Vallejo","Antonio Buero Vallejo"
Q373080,"Adrian Gurvitz","Adrian Gurvitz"
Q373128,"Bill Walsh","Bill Walsh (producer)"
Q373150,"Adrian Hyland","Adrian Hyland"
Q373215,"Adrian John Brown","Adrian John Brown"
Q373395,"Adrian Lester","Adrian Lester"
Q373435,"Risto Isomäki","Risto Isomäki"
Q373474,"Adrian Lyne","Adrian Lyne"
Q373570,"Adrian Mikhalchishin","Adrian Mikhalchishin"
Q373718,"Olga Gzovskaïa","Olga Gzovskaya"
Q373765,"Adrian Noble","Adrian Noble"
Q373770,"Simon Mayr","Simon Mayr"
Q373819,"Carl Teike","Carl Teike"
Q373861,"Jake Eberts","Jake Eberts"
Q373873,"José Miguel de Velasco Franco","José Miguel de Velasco Franco"
Q373895,"Betty White","Betty White"
Q373924,"Steven Gubser","Steven Gubser"
Q373930,"Carl Christian Rafn","Carl Christian Rafn"
Q373936,"Theodore Edgar McCarrick","Theodore Edgar McCarrick"
Q373968,"Jack Warden","Jack Warden"
Q374315,"William Calley","William Calley"
Q374363,"Philippe Brenninkmeyer","Philippe Brenninkmeyer"
Q374540,"James Kahn","James Kahn"
Q374674,"Ignác Goldziher","Ignác Goldziher"
Q374712,"John Ross Browne","John Ross Browne"
Q374750,"Paul Schoenfield","Paul Schoenfeld"
Q374803,"Benny Morris","Benny Morris"
Q374822,"Adrian of Nicomedia","Adrian and Natalia of Nicomedia"
Q374884,"Antoine Laurent Bayle","Antoine Laurent Bayle"
Q375015,"Biagio Antonacci","Biagio Antonacci"
Q375036,"Kostas Varnalis","Kostas Varnalis"
Q375088,"Ross Campbell","Ross Campbell (footballer)"
Q375114,"Horatio King","Horatio King"
Q375165,"John Bird","John Bird (astronomer)"
Q375245,"Adriana Ugarte","Adriana Ugarte"
Q375380,"Nikolaos Stratos","Nikolaos Stratos"
Q375477,"Ion Ivanovici","Ion Ivanovici"
Q375492,"Alain Caillé","Alain Caillé"
Q375610,"Adriano Correia de Oliveira","Adriano Correia de Oliveira"
Q375774,"Iskandar Muda","Iskandar Muda"
